Tweet ID,User,Content,Posted At (EST),Posted Date,Posted Time,Imported At (EST),Imported Date,Imported Time
2078347503603163580,elonmusk,"RT @yunta_tsai: My favorite system prompt at Grok Build: Do a) …, b) …, c) …. After finishing, please double-check the correctness and DM t…","7/18/2026, 1:13:53 AM",7/18/2026,1:13:53 AM,"7/18/2026, 1:15:50 AM",7/18/2026,1:15:50 AM
2078347476608655472,elonmusk,"RT @MdeZegher: The beginning of the Megacharger network

Build-out is focused on the most important Semi routes and depots first. Follow ou…","7/18/2026, 1:13:46 AM",7/18/2026,1:13:46 AM,"7/18/2026, 1:15:50 AM",7/18/2026,1:15:50 AM
2078331262977139027,elonmusk,"RT @tesla_na: Tesla Diner is turning 1 on July 21st, so we're throwing a party

Come swing by for a day full of fun:
– Cybercab on display…","7/18/2026, 12:09:21 AM",7/18/2026,12:09:21 AM,"7/18/2026, 12:10:36 AM",7/18/2026,12:10:36 AM
2078331140541157641,elonmusk,"RT @Rothmus: On this day in 1918 the Bolsheviks herded Tsar Nicholas II, Empress Alexandra, and their five children into a basement in Yeka…","7/18/2026, 12:08:52 AM",7/18/2026,12:08:52 AM,"7/18/2026, 12:10:36 AM",7/18/2026,12:10:36 AM
2078322392036790316,elonmusk,https://t.co/MU4QQ2Z1py,"7/17/2026, 11:34:06 PM",7/17/2026,11:34:06 PM,"7/17/2026, 11:35:03 PM",7/17/2026,11:35:03 PM
2078319826263474481,elonmusk,Try Grok 4.5 https://t.co/BmAC3bo8QX,"7/17/2026, 11:23:54 PM",7/17/2026,11:23:54 PM,"7/17/2026, 11:25:04 PM",7/17/2026,11:25:04 PM
2078319477490372994,elonmusk,RT @ArthurMacwaters: I have yet to find an example where wearing a short-sleeved white button-up shirt and tie did not imply absolutely PEA…,"7/17/2026, 11:22:31 PM",7/17/2026,11:22:31 PM,"7/17/2026, 11:25:04 PM",7/17/2026,11:25:04 PM
2078304197687103860,elonmusk,RT @minchoi: @elonmusk Can't wait! Grok 4.5 has been amazing already,"7/17/2026, 10:21:48 PM",7/17/2026,10:21:48 PM,"7/17/2026, 10:25:03 PM",7/17/2026,10:25:03 PM
2078303978765328689,elonmusk,"RT @naoufal_elh: Grok 4.5 uses less tokens than any other big model, performance great on almost all tasks, cost you cheaper than any big m…","7/17/2026, 10:20:56 PM",7/17/2026,10:20:56 PM,"7/17/2026, 10:21:47 PM",7/17/2026,10:21:47 PM
2078292639649083562,elonmusk,"RT @XFreeze: Grok TTS just took the top spot on The Humanness Index

It scored 94 for humanness....just six points below the human baseline…","7/17/2026, 9:35:52 PM",7/17/2026,9:35:52 PM,"7/17/2026, 9:37:17 PM",7/17/2026,9:37:17 PM
2078290383977562472,elonmusk,Yes https://t.co/Jfvs154XiU,"7/17/2026, 9:26:54 PM",7/17/2026,9:26:54 PM,"7/17/2026, 9:30:03 PM",7/17/2026,9:30:03 PM
2078290023686783151,elonmusk,"RT @minchoi: Grok 4.5 is only 1.5T parameters.

Kimi K3 is 2.8T... and costs 3× more per task.

SpaceXAI cracked intelligence efficiency.…","7/17/2026, 9:25:29 PM",7/17/2026,9:25:29 PM,"7/17/2026, 9:27:01 PM",7/17/2026,9:27:01 PM
2078269645350470105,elonmusk,RT @TheBabylonBee: https://t.co/xEAfI7C6Gh,"7/17/2026, 8:04:30 PM",7/17/2026,8:04:30 PM,"7/17/2026, 8:05:03 PM",7/17/2026,8:05:03 PM
2078269475351069176,elonmusk,"don’t 
forget https://t.co/bTpdB67pA0","7/17/2026, 8:03:49 PM",7/17/2026,8:03:49 PM,"7/17/2026, 8:05:03 PM",7/17/2026,8:05:03 PM
2078268654248984624,elonmusk,"RT @jordanbpeterson: We think of this evil as Marxism. In reality, Marxism is nothing more or less than the current instantiation of a much…","7/17/2026, 8:00:34 PM",7/17/2026,8:00:34 PM,"7/17/2026, 8:01:38 PM",7/17/2026,8:01:38 PM
2078250748920414692,elonmusk,Grok has the best value for coding https://t.co/xIMC1EWya1,"7/17/2026, 6:49:25 PM",7/17/2026,6:49:25 PM,"7/17/2026, 6:50:04 PM",7/17/2026,6:50:04 PM
2078200590765535431,elonmusk,Cool https://t.co/W5OjWorbDI,"7/17/2026, 3:30:06 PM",7/17/2026,3:30:06 PM,"7/17/2026, 3:32:29 PM",7/17/2026,3:32:29 PM
2078195617877143895,elonmusk,Grok 4.5 is arguably #1 when taking speed and cost into account https://t.co/Kd4iNDKKvw,"7/17/2026, 3:10:20 PM",7/17/2026,3:10:20 PM,"7/17/2026, 3:11:41 PM",7/17/2026,3:11:41 PM
2078194299385049273,elonmusk,"RT @yunta_tsai: Our lifespan is a session. Our memory is a context.
Our senses are the input stream. Our thoughts are the reasoning steps.…","7/17/2026, 3:05:06 PM",7/17/2026,3:05:06 PM,"7/17/2026, 3:06:39 PM",7/17/2026,3:06:39 PM
2078146099701850249,elonmusk,"RT @america: Newly declassified documents from the Department of Homeland Security show that over 250,000 non-citizens are illegally regist…","7/17/2026, 11:53:34 AM",7/17/2026,11:53:34 AM,"7/17/2026, 11:56:11 AM",7/17/2026,11:56:11 AM
2078086509052227916,elonmusk,This is messed up https://t.co/CbQMl2XK9F,"7/17/2026, 7:56:47 AM",7/17/2026,7:56:47 AM,"7/17/2026, 8:00:29 AM",7/17/2026,8:00:29 AM
2078066204288143852,elonmusk,"RT @XFreeze: Turns out Elon was completely right
The coding moat is disappearing in real time https://t.co/UYlfVV3UU7","7/17/2026, 6:36:06 AM",7/17/2026,6:36:06 AM,"7/17/2026, 6:36:34 AM",7/17/2026,6:36:34 AM
2078018021507932480,elonmusk,RT @no4core: @saneord also 29 days ago. https://t.co/jUsiEiy0EX,"7/17/2026, 3:24:38 AM",7/17/2026,3:24:38 AM,"7/17/2026, 3:26:47 AM",7/17/2026,3:26:47 AM
2078015422931091486,elonmusk,As promised https://t.co/dMoHSO4rjy,"7/17/2026, 3:14:19 AM",7/17/2026,3:14:19 AM,"7/17/2026, 3:16:30 AM",7/17/2026,3:16:30 AM
2078014448267104664,elonmusk,Try Grok https://t.co/MHolLozStT,"7/17/2026, 3:10:26 AM",7/17/2026,3:10:26 AM,"7/17/2026, 3:11:29 AM",7/17/2026,3:11:29 AM
2078011289696137669,elonmusk,RT @kentcdodds: Grok 4.5 is the first time I feel like I can regularly use a Grok model for building software.,"7/17/2026, 2:57:53 AM",7/17/2026,2:57:53 AM,"7/17/2026, 3:02:30 AM",7/17/2026,3:02:30 AM
2078008818764505356,elonmusk,Grok Imagine https://t.co/vJq2bSHnfP,"7/17/2026, 2:48:04 AM",7/17/2026,2:48:04 AM,"7/17/2026, 2:50:30 AM",7/17/2026,2:50:30 AM
2078007993296179568,elonmusk,Grok Build upgrades https://t.co/VspDCLVg25,"7/17/2026, 2:44:47 AM",7/17/2026,2:44:47 AM,"7/17/2026, 2:46:46 AM",7/17/2026,2:46:46 AM
2078006929188606315,elonmusk,https://t.co/NQj2euaQdh,"7/17/2026, 2:40:34 AM",7/17/2026,2:40:34 AM,"7/17/2026, 2:41:45 AM",7/17/2026,2:41:45 AM
2077917951957643693,elonmusk,Starlink V3 will increase space-based bandwidth by ~2 orders of magnitude https://t.co/kOZ3UJ0u7J,"7/16/2026, 8:47:00 PM",7/16/2026,8:47:00 PM,"7/16/2026, 8:51:18 PM",7/16/2026,8:51:18 PM
2077906757641183445,elonmusk,"To be confident of a good flight, 2 Raptors will be removed &amp; replaced. Most probable launch timing is early next week.","7/16/2026, 8:02:31 PM",7/16/2026,8:02:31 PM,"7/16/2026, 8:06:46 PM",7/16/2026,8:06:46 PM
2077890013841310149,elonmusk,"Some of the engines didn’t start, triggering an automatic launch abort. 

Now offloading propellant.

Next launch attempt hopefully in a few days.","7/16/2026, 6:55:59 PM",7/16/2026,6:55:59 PM,"7/16/2026, 7:01:34 PM",7/16/2026,7:01:34 PM
2077883067272769915,elonmusk,RT @techdevnotes: SpaceXAI has updated Zero Data Retention (ZDR) in Docs with more information https://t.co/1YVg0AqbHb,"7/16/2026, 6:28:23 PM",7/16/2026,6:28:23 PM,"7/16/2026, 6:30:23 PM",7/16/2026,6:30:23 PM
2077882072950096042,elonmusk,To understand more about Starship https://t.co/Rsqp9wxpbA,"7/16/2026, 6:24:26 PM",7/16/2026,6:24:26 PM,"7/16/2026, 6:26:50 PM",7/16/2026,6:26:50 PM
2077878804895134050,elonmusk,"RT @ARKInvest: No Starship, no orbital data centers. No orbital data centers, no potential $28.5 trillion market.

Before you watch tonight…","7/16/2026, 6:11:26 PM",7/16/2026,6:11:26 PM,"7/16/2026, 6:15:24 PM",7/16/2026,6:15:24 PM
2077878690726195376,elonmusk,"RT @finkd: A lot of people asked for this, so Muse Spark 1.1 is now on OpenRouter.","7/16/2026, 6:10:59 PM",7/16/2026,6:10:59 PM,"7/16/2026, 6:15:24 PM",7/16/2026,6:15:24 PM
2077878386240717083,elonmusk,RT @jamesdouma: Today I’m really feeling the acceleration.,"7/16/2026, 6:09:47 PM",7/16/2026,6:09:47 PM,"7/16/2026, 6:10:49 PM",7/16/2026,6:10:49 PM
2077876568790028645,elonmusk,"RT @XFreeze: We have Falcon and Starship taking off almost at the same time today (~2 hours apart)

For other space programs, this is years…","7/16/2026, 6:02:33 PM",7/16/2026,6:02:33 PM,"7/16/2026, 6:06:02 PM",7/16/2026,6:06:02 PM
2077875206702448814,elonmusk,Tesla now in Uruguay https://t.co/ERx146wPK7,"7/16/2026, 5:57:08 PM",7/16/2026,5:57:08 PM,"7/16/2026, 6:00:40 PM",7/16/2026,6:00:40 PM
2077867958785691952,elonmusk,RT @Kristennetten: Love the new Starship Schematics T-shirt sold by SpaceX https://t.co/mlrpu1XpS7,"7/16/2026, 5:28:20 PM",7/16/2026,5:28:20 PM,"7/16/2026, 5:30:52 PM",7/16/2026,5:30:52 PM
2077867371956412545,elonmusk,Starlink now available in Côte d'Ivoire! https://t.co/mYmmbB6hPq,"7/16/2026, 5:26:01 PM",7/16/2026,5:26:01 PM,"7/16/2026, 5:27:02 PM",7/16/2026,5:27:02 PM
2077867066556547097,elonmusk,Starship launch window opens at 5:45pm Texas time https://t.co/rXXU1qjNOL,"7/16/2026, 5:24:48 PM",7/16/2026,5:24:48 PM,"7/16/2026, 5:27:02 PM",7/16/2026,5:27:02 PM
2077866243097346075,elonmusk,RT @milichab: Extremely strong at CAD and spatial reasoning,"7/16/2026, 5:21:31 PM",7/16/2026,5:21:31 PM,"7/16/2026, 5:21:48 PM",7/16/2026,5:21:48 PM
2077833087442940349,elonmusk,RT @Starlink: Starlink Mobile will be available in Italy with @FASTWEB.  The service will keep customers connected via apps and text messag…,"7/16/2026, 3:09:46 PM",7/16/2026,3:09:46 PM,"7/16/2026, 3:11:51 PM",7/16/2026,3:11:51 PM
2077803073083248998,elonmusk,"RT @aelluswamy: @SpaceXAI It’s been very fast, and a pleasure to use. Nice work!","7/16/2026, 1:10:30 PM",7/16/2026,1:10:30 PM,"7/16/2026, 1:15:41 PM",7/16/2026,1:15:41 PM
2077801061343981703,elonmusk,RT @SpaceX: Stacking Starship for Flight 13 https://t.co/L4XN6gqgRt,"7/16/2026, 1:02:31 PM",7/16/2026,1:02:31 PM,"7/16/2026, 1:05:28 PM",7/16/2026,1:05:28 PM
